Campaign_Name,Clicks,Payout
Clovia [CPS] IN,375,0
Clovia [CPS] IN,324,0
Clovia [CPS] IN,395,0
Clovia.com CPS - India,3,0
Condor Germany - CPS,416,31.6757
Condor Germany - CPS,350,26.6008
Condor Germany - CPS,17,0
Condor Germany - CPS,27,0
Condor Germany - CPS,27,0
Condor Germany - CPS,276,3.2757
Condor Germany - CPS,276,3.2757
Condor Germany - CPS,434,5.8537
Condor Germany - CPS,434,5.8537
Condor Germany - CPS,147,0
Condor Germany - CPS,147,0
Condor Germany - CPS,73,0
Condor Germany - CPS,73,0
Condor Germany - CPS,62,0
Condor Germany - CPS,62,0
Condor Germany - CPS,37,0
Condor Germany - CPS,37,0
Condor Germany - CPS,17,0
Condor Germany - CPS,17,0
Condor Germany - CPS,54,0
Condor Germany - CPS,54,0
Condor Germany - CPS,121,0
Condor Germany - CPS,121,0
Condor Germany - CPS,120,3.2
Condor Germany - CPS,120,3.2
Corel Roxio & Pin0cle | Multimedia Software,95,0
Corel Roxio & Pin0cle | Multimedia Software,84,0
Corel Roxio & Pin0cle | Multimedia Software,42,0
Corel Roxio & Pin0cle | Multimedia Software,70,0
Corel Roxio & Pin0cle | Multimedia Software,44,0
Corel Roxio & Pin0cle | Multimedia Software,72,0
Corel Roxio & Pin0cle | Multimedia Software,111,0
Corel Roxio & Pin0cle | Multimedia Software,21,0
Cosmic Byte [CPS] IN,25,0
"Cosstores.com CPS - KW, SA & AE",1,0
"Cosstores.com CPS - KW, SA & AE",2,0
Cotosen WW,49,0
Cotosen.com CPS - WorldWide,11,0
Cotosen.com CPS - WorldWide,1,0
Cotosen.com CPS - WorldWide,21,0
Cotosen.com CPS - WorldWide,5,0
Cotosen.com CPS - WorldWide,22,0
Cotosen.com CPS - WorldWide,13,0
Cotosen.com CPS - WorldWide,10,0
Cotosen.com CPS - WorldWide,19,0
Cotosen.com CPS - WorldWide,8,0
Cotosen.com CPS - WorldWide,33,0
Cottonon.com CPS -Worldwide,3990,0
Cottonon.com CPS -Worldwide,3350,0
Cottonon.com CPS -Worldwide,150,0
Coursera B2C Affiliate Program,60,0
Coursera B2C Affiliate Program,112,52.18
Coursera B2C Affiliate Program,42,0
Coursera B2C Affiliate Program,88,0
Crazy Domains Affiliate Program,4,0
Crazy Domains Affiliate Program,5,0
Crazy Domains Affiliate Program,8,0
Crazy Domains Affiliate Program,18,0
Crazy Domains Affiliate Program,3,0
Crazy Domains Affiliate Program,1,0
Crazy Domains Affiliate Program,5,0
Crazy Domains Affiliate Program,35,0
Crazy Domains Affiliate Program,8,0
Crazy Domains Affiliate Program,18,0
Crazy Domains Affiliate Program,3,0
Crazy Domains Affiliate Program,1,0
Crazy Domains Affiliate Program,8,0
CreditKarma (Paused),1511,0
CreditKarma (Paused),2601,0
CreditKarma (Paused),2601,0
CreditKarma (Paused),1021,0
CreditKarma (Paused),882,0
CreditKarma (Paused),10,0
CreditKarma (Paused),2500,0
CreditKarma (Paused),2500,0
CreditKarma (Paused),5256,0
CreditKarma (Paused),5256,0
CreditKarma (Paused),6229,12
CreditKarma (Paused),6229,12
CreditKarma (Paused),4223,12
CreditKarma (Paused),4223,12
CreditKarma (Paused),3973,34
CreditKarma (Paused),3973,34
CreditKarma (Paused),972,6
CreditKarma (Paused),972,6
CreditKarma (Paused),768,0
CreditKarma (Paused),768,0
CreditKarma (Paused),627,0
CreditKarma (Paused),627,0
CreditKarma (Paused),567,0
CreditKarma (Paused),567,0
CreditKarma (Paused),481,0
CreditKarma (Paused),481,0
CreditKarma (Paused),1043,0
CreditKarma (Paused),1043,0
