Campaign_Name,Time,Payout,Clicks,Partner
MakeMyTrip.com Bus CPS - India,G-July'2023,0,676,Vcom_new
MakeMyTrip.com Bus CPS - India,D-April'2023,0,722,Vcom_old
Makemytrip.com Domestic Hotels CPS - India,L-December'2023,0,797,Vcom_new
Medibuddy [CPS] IN,A-January'2023,0,1098,Admitad_FS
Medibuddy [CPS] IN,B-February'2023,0,695,Admitad_FS
Medibuddy [CPS] IN,C-March'2023,0,971,Admitad_FS
Medibuddy [CPS] IN,D-April'2023,0,575,Admitad_FS
Medibuddy [CPS] IN,F-June'2023,0,996,Admitad_XO
Medibuddy [CPS] IN,G-July'2023,0,554,Admitad_XO
Microsoft [CPS] IN US APAC,H-August'2023,75.2,2663,Admitad_FS
Moglix [CPS] IN,E-May'2023,0,510,Admitad_XO
Moglix [CPS] IN,G-July'2023,0,543,Admitad_XO
Myntra [CPS] IN,F-June'2023,0,679,Admitad_XO
Myprotein - CPS,N-February'2024,0,1704,Pokket_XO
Myprotein - CPS,N-February'2024,0,1704,Pokket_XO
Nexo - CPA,L-December'2023,0.0583,1083,Pokket_XO
Nexo - CPA,L-December'2023,0.0583,1083,Pokket_XO
Nexo - CPA,M-January'2024,0.0211,582,Pokket_XO
Nexo - CPA,M-January'2024,0.0211,582,Pokket_XO
Nexo - CPA,N-February'2024,0,849,Pokket_XO
Nexo - CPA,N-February'2024,0,849,Pokket_XO
Nike [CPS] APAC,L-December'2023,0,737,Admitad_XO
Nykaa Beauty [CPS] IN,J-October'2023,12.21,1164,Admitad_FS
Omio.com CPS - Worldwide,M-January'2024,0,503,Vcom_new
OnePlus US & Ca0da,C-March'2023,0,2135,Impact_Hyzzo
Oppo India [CPS] IN,E-May'2023,84.13,576,Admitad_FS
Pdffiller Many Geos,J-October'2023,0,590,Admitad_XO
PUMA,E-May'2023,0,1689,Optimize Media
PUMA,L-December'2023,0,513,Optimize Media
PUMA,M-January'2024,0,1689,Optimize Media
Puma.com CPS - India,D-April'2023,0,584,Vcom_old
RealMe old [CPS] IN,A-January'2023,0,885,Admitad_FS
RealMe old [CPS] IN,B-February'2023,0,770,Admitad_FS
RealMe old [CPS] IN,C-March'2023,0,587,Admitad_FS
RealMe old [CPS] IN,D-April'2023,0,544,Admitad_FS
Reliance Digital [CPS] IN,A-January'2023,0,624,Admitad_FS
Reliance Digital [CPS] IN,I-September'2023,0,517,Admitad_FS
Reliance Digital [CPS] IN,J-October'2023,0,2633,Admitad_FS
Reliance Digital [CPS] IN,K-November'2023,0,915,Admitad_FS
Remitly,C-March'2023,4,718,Impact_Hyzzo
Semrush - CPA,E-May'2023,0,1297,Pokket_FS
Semrush - CPA,E-May'2023,24,4156,Pokket_XO
Semrush - CPA,E-May'2023,24,4156,Pokket_XO
Semrush - CPA,F-June'2023,0,2099,Pokket_XO
Semrush - CPA,F-June'2023,0,2099,Pokket_XO
Shopee Indonesia - CPS,A-January'2023,47.5196,32600,Pokket_FS
Shopee Indonesia - CPS,B-February'2023,26.3346,14989,Pokket_FS
Shopee Indonesia - CPS,C-March'2023,36.0975,15374,Pokket_FS
Shopee Indonesia - CPS,D-April'2023,36.0975,15374,Pokket_FS
Shopee Indonesia - CPS,E-May'2023,19.3381,9840,Pokket_FS
Shopee Indonesia - CPS,F-June'2023,24.4127,10177,Pokket_FS
